,Player,2023/24
462,Toumani Camara,"$1,119,563"
463,Sidy Cissoko,"$1,119,563"
464,Dylan Windler,"$1,116,288"
465,Trent Forrest,"$1,112,933"
466,Lester Quinones,"$1,108,597"
467,Kendall Brown,"$1,100,000"
468,Stanley Umude,"$1,098,242"
469,Gui Santos,"$1,029,483"
470,Dominick Barlow,"$1,015,402"
471,AJ Lawson,"$1,000,000"
472,Ishmail Wainright,"$988,269"
473,Neemias Queta,"$891,035"
474,Jalen Wilson,"$850,000"
475,Javon Freeman-Liberty,"$849,324"
476,Lindy Waters III,"$766,095"
477,Jacob Toppin,"$759,245"
478,Mamadi Diakite,"$710,574"
479,Jack White,"$703,550"
480,Nik Stauskas,"$702,311"
481,Jacob Gilyard,"$701,336"
482,Luka Garza,"$687,465"
483,Keon Ellis,"$683,430"
484,RJ Hampton,"$680,032"
485,TJ Warren,"$649,659"
486,Darius Bazley,"$624,425"
487,Juwan Morgan,"$576,230"
488,Seth Lundy,"$559,782"
489,JD Davison,"$559,782"
490,Amari Bailey,"$559,782"
491,Leaky Black,"$559,782"
492,Adama Sanogo,"$559,782"
493,Isaiah Mobley,"$559,782"
494,Emoni Bates,"$559,782"
495,Greg Brown,"$559,782"
496,Collin Gillespie,"$559,782"
497,Braxton Key,"$559,782"
498,Jay Huff,"$559,782"
499,Jared Rhoden,"$559,782"
500,Malcolm Cazalon,"$559,782"
501,Jerome Robinson,"$559,782"
502,Jermaine Samuels,"$559,782"
503,Nate Hinton,"$559,782"
504,Nate Williams,"$559,782"
505,Isaiah Wong,"$559,782"
506,Oscar Tshiebwe,"$559,782"
507,Moussa Diabate,"$559,782"
508,Jordan Miller,"$559,782"
509,Colin Castleton,"$559,782"
510,Cole Swider,"$559,782"
511,Jamal Cain,"$559,782"
512,Jaylen Clark,"$559,782"
513,Daishen Nix,"$559,782"
514,Dereon Seabron,"$559,782"
515,Charlie Brown,"$559,782"
516,Keyontae Johnson,"$559,782"
517,Olivier Sarr,"$559,782"
518,Kevon Harris,"$559,782"
519,Trevelin Queen,"$559,782"
520,Admiral Schofield,"$559,782"
521,Terquavion Smith,"$559,782"
522,Saben Lee,"$559,782"
523,Udoka Azubuike,"$559,782"
524,Theo Maledon,"$559,782"
525,Justin Minaya,"$559,782"
526,Jalen Slawson,"$559,782"
527,Jordan Ford,"$559,782"
528,Filip Petrusev,"$559,782"
529,Markquis Nowell,"$559,782"
530,Johnny Juzang,"$559,782"
531,Micah Potter,"$559,782"
532,Malik Fitts,"$555,217"
533,Marques Bolden,"$502,131"
534,Onuralp Bitim,"$500,000"
535,Xavier Moon,"$489,005"
536,Isaiah Thomas,"$477,630"
537,Ibou Badji,"$466,485"
538,Juan Toscano-Anderson,"$447,931"
539,Duane Washington Jr,"$443,965"
540,Jules Bernard,"$415,011"
541,Jontay Porter,"$411,794"
542,Jaylen Nowell,"$398,160"
543,Drew Peterson,"$395,708"
544,Nathan Mensah,"$395,708"
545,David Duke,"$395,708"
546,Henri Drell,"$389,274"
547,Alex Fudge,"$376,405"
548,Vit Krejci,"$369,971"
549,Brandon Williams,"$350,668"
550,Trey Jemison,"$341,017"
551,Jason Preston,"$315,280"
552,Nerlens Noel,"$300,000"
553,Tosan Evbuomwan,"$295,977"
554,Scottie Pippen Jr,"$289,542"
555,Malcolm Hill,"$286,583"
556,Ashton Hagans,"$270,841"
557,Jeff Dowtin,"$269,237"
558,Didi Louzada,"$268,032"
559,Javonte Green,"$261,293"
560,Justin Champagnie,"$254,412"
561,Jaylen Martin,"$249,766"
562,Pete Nance,"$244,503"
563,Lindell Wigginton,"$244,502"
564,Armoni Brooks,"$241,285"
565,D'Moi Hodge,"$241,285"
566,Jahmi'us Ramsey,"$232,150"
567,Charles Bediako,"$215,548"
568,Dexter Dennis,"$212,331"
569,Alondes Williams,"$212,331"
570,Mason Jones,"$212,331"
571,DeJon Jarreau,"$207,100"
572,Zavier Simpson,"$207,100"
573,Adam Flagler,"$205,897"
574,DJ Carton,"$205,897"
575,Danny Green,"$202,074"
576,Mouhamadou Gueye,"$199,463"
577,Ja'Vonte Smart,"$196,245"
578,Miles Norris,"$193,028"
579,Justin Lewis,"$173,725"
580,Jamaree Bouyea,"$170,801"
581,Pat Spencer,"$170,508"
582,Buddy Boeheim,"$167,291"
583,Sir'Jabari Rice,"$167,291"
584,Justise Winslow,"$166,176"
585,Nathan Knight,"$160,857"
586,Andrew Funk,"$160,857"
587,Ron Harper Jr,"$147,988"
588,John Butler,"$147,988"
589,Shaquille Harrison,"$145,301"
590,Justin Jackson,"$145,301"
591,Jaylin Galloway,"$141,554"
592,RaiQuan Gray,"$141,554"
593,Quenton Jackson,"$135,120"
594,DJ Wilson,"$134,863"
595,Hamidou Diallo,"$134,863"
596,Matthew Hurt,"$128,686"
597,Maozinha Pereira,"$128,685"
598,Wenyen Gabriel,"$124,425"
599,Kobi Simmons,"$120,250"
600,Zhaire Smith,"$116,075"
601,Sharife Cooper,"$103,550"
602,Demetrius Jackson,"$92,857"
603,Malik Williams,"$77,212"
604,Omari Moore,"$75,000"
605,Taze Moore,"$70,687"
606,Timmy Allen,"$64,343"
607,Jalen Crutcher,"$64,343"
608,Izaiah Brockington,"$64,343"
609,Taevion Kinsey,"$64,343"
610,Edmond Sumner,"$40,459"
611,Kaiser Gates,"$35,389"
